freq_mhz,conductor_diameter_mm,length_offset_mm,spacing_offset_mm,resistance_ohm,reactance_ohm,vswr_50,forward_gain_dbi,back_gain_dbi,front_to_back_db
900.0,6.0,0.0,0.0,45.523,86.885,5.130,11.106,0.301,10.805
925.0,6.0,0.0,0.0,95.145,44.183,2.427,11.106,2.832,8.274
945.0,6.0,0.0,0.0,13.314,56.690,8.735,11.321,3.164,8.156
960.0,6.0,0.0,0.0,2.750,97.643,87.551,11.105,6.265,4.841
900.0,6.0,1.0,0.0,54.002,92.584,4.980,11.136,1.103,10.033
925.0,6.0,1.0,0.0,68.087,24.654,1.679,11.106,3.053,8.053
945.0,6.0,1.0,0.0,6.617,73.103,23.801,11.437,3.672,7.765
960.0,6.0,1.0,0.0,2.044,110.824,144.639,9.416,8.070,1.346
900.0,6.0,-1.0,0.0,39.810,80.636,5.124,11.057,-0.611,11.667
925.0,6.0,-1.0,0.0,97.411,73.306,3.258,11.116,2.501,8.615
945.0,6.0,-1.0,0.0,26.380,39.892,3.329,11.209,3.014,8.196
960.0,6.0,-1.0,0.0,4.871,83.334,38.852,11.513,4.378,7.135
900.0,6.0,3.0,0.0,84.408,91.840,4.031,11.134,2.362,8.773
925.0,6.0,3.0,0.0,18.701,45.054,5.019,11.199,3.234,7.965
945.0,6.0,3.0,0.0,2.099,101.499,122.030,10.411,6.999,3.412
960.0,6.0,3.0,0.0,2.886,134.931,143.546,2.162,8.684,-6.523
900.0,6.0,-3.0,0.0,33.016,68.614,4.819,10.907,-2.753,13.660
925.0,6.0,-3.0,0.0,68.163,93.316,4.426,11.117,1.515,9.602
945.0,6.0,-3.0,0.0,78.263,31.361,1.940,11.114,2.764,8.350
960.0,6.0,-3.0,0.0,18.538,51.046,5.704,11.306,2.946,8.360
900.0,6.0,0.0,1.0,47.527,87.937,5.059,11.107,0.332,10.775
925.0,6.0,0.0,1.0,96.052,42.410,2.399,11.105,2.811,8.295
945.0,6.0,0.0,1.0,13.451,56.885,8.682,11.328,3.128,8.200
960.0,6.0,0.0,1.0,2.814,98.467,86.732,11.093,6.292,4.802
900.0,6.0,0.0,-1.0,43.530,85.757,5.206,11.105,0.270,10.836
925.0,6.0,0.0,-1.0,94.100,45.977,2.455,11.107,2.854,8.252
945.0,6.0,0.0,-1.0,13.170,56.484,8.791,11.313,3.202,8.111
960.0,6.0,0.0,-1.0,2.687,96.790,88.387,11.116,6.238,4.879
900.0,6.0,0.0,3.0,51.562,89.814,4.927,11.107,0.391,10.716
925.0,6.0,0.0,3.0,97.493,38.956,2.348,11.103,2.768,8.336
945.0,6.0,0.0,3.0,13.706,57.239,8.586,11.342,3.056,8.286
960.0,6.0,0.0,3.0,2.940,100.036,85.137,11.066,6.345,4.721
900.0,6.0,0.0,-3.0,39.592,83.270,5.371,11.103,0.204,10.899
925.0,6.0,0.0,-3.0,91.561,49.594,2.517,11.107,2.899,8.207
945.0,6.0,0.0,-3.0,12.861,56.028,8.914,11.297,3.279,8.018
960.0,6.0,0.0,-3.0,2.558,94.993,90.126,11.137,6.184,4.953
